FUNCTION PROFILE: 14-May-2018 18:17:29.325 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
      115           0   Thread.RunningThread
       95           0   CliBuffer.CalcType
       30           0   Base.ctor
       30           0   Object.ctor
       29           0   FunctionGuard.ctor
       29           0   MsgBuffer.ctor
       29           0   ObjectPool.DeqBlock
       29           0   Pooled.ctor
       29           0   Q1Way.Deq
       29           0   StreamRequest.ctor
       29           0   SysThread.Interrupt
       29           0   Thread.EnqMsg
       29           0   Thread.Interrupt
       29           0   Thread.MakeUnpreemptable
       28           0   FunctionGuard.dtor
       28           0   MsgBuffer.operator new
       28           0   Q1Way.Enq
       28           0   Q1Way.Size
       28           0   Thread.MakePreemptable
       18           0   CliIncrement.FindCommand
       17           0   CliBuffer.FindNextNonBlank
       17           0   FileThread.Spool(stream)
       16           0   FileRequest.ctor
       14           0   CliStack.FindCommand
       13           0   CoutThread.Spool(stream)
       13           0   Thread.LogContextSwitch
       12           0   CliThread.Flush
       12           0   SysMutex.Release
       12           0   Thread.EnterBlockingOperation
       11           0   CliBuffer.GetStr
       11           0   FileThread.Spool(string)
       10           0   Thread.ResumeLocked
        9           0   SysMutex.Acquire
        9           0   Thread.InitialMsecs
        9           0   ThreadAdmin.WarpFactor
        8           0   LibrarySet.Release
        7           0   CliBuffer.Echo
        7           0   CliBuffer.ScanLine
        7           0   CliCookie.Initialize
        7           0   CliThread.InvokeCommand
        7           0   CliThread.ParseCommand
        7           0   CoutThread.Spool(string)
        6           0   CliBuffer.GetLine
        6           0   CliStack.Top
        6           0   CliThread.SetResult
        6           0   Symbol.SetValue
        6           0   SymbolRegistry.EnsureSymbol
        6           0   SymbolRegistry.FindSymbol
        5           0   CliThread.EndOfInput
        4           0   CliText.AccessParm
        4           0   CliThread.Report1
        4           0   Registry.Size
        3           0   CliCookie.Advance
        3           0   CliThread.Report
        3           0   Interpreter.SkipBlanks
        2           0   CliCommand.GetStringRc
        2           0   CliParm.GetString
        2           0   CliTextParm.GetStringRc
        2           0   CliThread.OpenInputFile
        2           0   CliThread.ReadCommands
        2           0   Interpreter.GetToken
        2           0   ReadCommand.ProcessCommand
        2           0   SysFile.CreateIstream
        1           0   CliBuffer.GetInt
        1           0   CliBuffer.PutLine
        1           0   CliBuffer.Read
        1           0   CliCommand.GetIntParmRc
        1           0   CliCommand.GetTextParmRc
        1           0   CliIntParm.GetIntParmRc
        1           0   CliParm.GetIntParm
        1           0   CliParm.GetTextIndex
        1           0   CliTextParm.GetTextParmRc
        1           0   CliThread.Execute
        1           0   CodeFileSet.Countlines
        1           0   CountlinesCommand.ProcessCommand
        1           0   DelayCommand.ProcessCommand
        1           0   Interpreter.ApplyOperator
        1           0   Interpreter.CheckExpr
        1           0   Interpreter.Evaluate
        1           0   Interpreter.HandleToken
        1           0   Interpreter.ctor
        1           0   Interpreter.dtor
        1           0   Library.EnsureVar
        1           0   Library.Evaluate
        1           0   Library.FindVar
        1           0   LibraryCommand.Evaluate
        1           0   Memory.Alloc
        1           0   Memory.Free
        1           0   Object.operator delete
        1           0   StopCommand.ProcessCommand
        1           0   SysHeap.Alloc
        1           0   SysHeap.Free
        1           0   Temporary.ctor
        1           0   Temporary.operator new
        1           0   TestcaseCommand.ProcessCommand
        1           0   TraceBuffer.SetTool
        1           0   TraceBuffer.StopTrace

Total functions: 97
