FUNCTION PROFILE: 3-Jun-2018 12:23:04.220 on Reigi

    Calls       uSecs   Function
    -----       -----   --------
       22           0   Memory.Free
       22           0   SysHeap.Free
       16           0   Thread.RunningThread
       10           0   Object.operator delete
        8           0   Registry.Erase
        7           0   Statistic.dtor
        7           0   StatisticsRegistry.UnbindStat
        6           0   SysMutex.Acquire
        6           0   SysMutex.Release
        4           0   Base.ctor
        4           0   Counter.dtor
        4           0   Object.ctor
        3           0   HighWatermark.dtor
        3           0   Q1Way.Enq
        3           0   RecoveryTestThread.Enter
        3           0   SysThreadStack.Display
        3           0   Thread.InitialMsecs
        3           0   Thread.ResumeLocked
        3           0   ThreadAdmin.WarpFactor
        2           0   FunctionGuard.ctor
        2           0   FunctionGuard.dtor
        2           0   LeakyBucketCounter.dtor
        2           0   Log.Create
        2           0   Log.Spool
        2           0   LogThread.Spool
        2           0   MsgBuffer.ctor
        2           0   MsgBuffer.operator new
        2           0   MutexGuard.ctor
        2           0   MutexGuard.dtor
        2           0   ObjectPool.DeqBlock
        2           0   Pooled.ctor
        2           0   Q1Way.Deq
        2           0   Q1Way.Size
        2           0   StreamRequest.ctor
        2           0   SysThread.Interrupt
        2           0   SysTime.ctor(now)
        2           0   Thread.EnqMsg
        2           0   Thread.EnterBlockingOperation
        2           0   Thread.ExitSwLog
        2           0   Thread.Interrupt
        2           0   Thread.LogContextSwitch
        1           0   Accumulator.dtor
        1           0   Debug.GenerateSwLog
        1           0   Debug.SwErr(int)
        1           0   Exception.ctor
        1           0   Exception.dtor
        1           0   ObjectPool.EnqBlock
        1           0   Orphans.ExitNow
        1           0   Orphans.Register
        1           0   Pooled.operator delete
        1           0   Q1Way.Init
        1           0   RecoveryTestThread.dtor
        1           0   SignalException.ctor
        1           0   SignalException.dtor
        1           0   Singleton.Destroy
        1           0   Singletons.UnbindInstance
        1           0   SysThread.Delete
        1           0   SysThread.DeleteSentry
        1           0   SysThread.Start
        1           0   SysThread.dtor
        1           0   Thread.EnterSwLog
        1           0   Thread.ExtendTime
        1           0   Thread.MakePreemptable
        1           0   Thread.MakeUnpreemptable
        1           0   Thread.RegisterForSignals
        1           0   Thread.ReleaseResources
        1           0   Thread.Start
        1           0   Thread.TrapHandler
        1           0   Thread.dtor
        1           0   ThreadPriv.dtor
        1           0   ThreadRegistry.UnbindThread
        1           0   ThreadStats.dtor

Total functions: 72
